"sex","tissue","celltype"
"female","Aorta","aortic endothelial cell"
"female","Aorta","epithelial cell"
"female","Aorta","fibroblast of cardiac tissue"
"female","Aorta","fibrocyte"
"female","Aorta","macrophage"
"female","Aorta","professional antigen presenting cell"
"female","BAT","B cell"
"female","BAT","endothelial cell"
"female","BAT","epithelial cell"
"female","BAT","mesenchymal stem cell of adipose"
"female","BAT","myeloid cell"
"female","BAT","NK cell"
"female","BAT","T cell"
"female","Bladder","bladder cell"
"female","Bladder","bladder urothelial cell"
"female","Brain_Myeloid","macrophage"
"female","Brain_Myeloid","microglial cell"
"female","Brain_Non-Myeloid","astrocyte"
"female","Brain_Non-Myeloid","Bergmann glial cell"
"female","Brain_Non-Myeloid","brain pericyte"
"female","Brain_Non-Myeloid","CD8-positive, alpha-beta T cell"
"female","Brain_Non-Myeloid","endothelial cell"
"female","Brain_Non-Myeloid","ependymal cell"
"female","Brain_Non-Myeloid","interneuron"
"female","Brain_Non-Myeloid","mature NK T cell"
"female","Brain_Non-Myeloid","medium spiny neuron"
"female","Brain_Non-Myeloid","microglial cell"
"female","Brain_Non-Myeloid","neuroepithelial cell"
"female","Brain_Non-Myeloid","neuron"
"female","Brain_Non-Myeloid","neuronal stem cell"
"female","Brain_Non-Myeloid","oligodendrocyte"
"female","Brain_Non-Myeloid","oligodendrocyte precursor cell"
"female","Brain_Non-Myeloid","T cell"
"female","Diaphragm","B cell"
"female","Diaphragm","endothelial cell"
"female","Diaphragm","macrophage"
"female","Diaphragm","mesenchymal stem cell"
"female","Diaphragm","skeletal muscle satellite cell"
"female","Diaphragm","T cell"
"female","GAT","B cell"
"female","GAT","CD4-positive, alpha-beta T cell"
"female","GAT","CD8-positive, alpha-beta T cell"
"female","GAT","endothelial cell"
"female","GAT","epithelial cell"
"female","GAT","mesenchymal stem cell of adipose"
"female","GAT","myeloid cell"
"female","GAT","NK cell"
"female","GAT","T cell"
"female","Heart","atrial myocyte"
"female","Heart","B cell"
"female","Heart","endocardial cell"
"female","Heart","endothelial cell of coronary artery"
"female","Heart","fibroblast of cardiac tissue"
"female","Heart","macrophage"
"female","Heart","monocyte"
"female","Heart","smooth muscle cell"
"female","Heart","T cell"
"female","Heart","valve cell"
"female","Heart","ventricular myocyte"
"female","Kidney","B cell"
"female","Kidney","epithelial cell of proximal tubule"
"female","Kidney","fenestrated cell"
"female","Kidney","kidney collecting duct epithelial cell"
"female","Kidney","kidney collecting duct principal cell"
"female","Kidney","kidney loop of Henle ascending limb epithelial cell"
"female","Kidney","macrophage"
"female","Kidney","mesangial cell"
"female","Kidney","T cell"
"female","Large_Intestine","Brush cell of epithelium proper of large intestine"
"female","Large_Intestine","enterocyte of epithelium of large intestine"
"female","Large_Intestine","enteroendocrine cell"
"female","Large_Intestine","epithelial cell of large intestine"
"female","Large_Intestine","intestinal crypt stem cell"
"female","Large_Intestine","large intestine goblet cell"
"female","Large_Intestine","secretory cell"
"female","Limb_Muscle","B cell"
"female","Limb_Muscle","endothelial cell"
"female","Limb_Muscle","macrophage"
"female","Limb_Muscle","mesenchymal stem cell"
"female","Limb_Muscle","skeletal muscle satellite cell"
"female","Limb_Muscle","T cell"
"female","Liver","B cell"
"female","Liver","CD4-positive, alpha-beta T cell"
"female","Liver","CD8-positive, alpha-beta T cell"
"female","Liver","endothelial cell of hepatic sinusoid"
"female","Liver","hepatocyte"
"female","Liver","Kupffer cell"
"female","Liver","mature NK T cell"
"female","Liver","myeloid leukocyte"
"female","Liver","neutrophil"
"female","Liver","NK cell"
"female","Liver","T cell"
"female","Lung","adventitial cell"
"female","Lung","B cell"
"female","Lung","bronchial smooth muscle cell"
"female","Lung","CD4-positive, alpha-beta T cell"
"female","Lung","CD8-positive, alpha-beta T cell"
"female","Lung","ciliated columnar cell of tracheobronchial tree"
"female","Lung","classical monocyte"
"female","Lung","club cell of bronchiole"
"female","Lung","dendritic cell"
"female","Lung","endothelial cell of lymphatic vessel"
"female","Lung","fibroblast of lung"
"female","Lung","intermediate monocyte"
"female","Lung","leukocyte"
"female","Lung","lung macrophage"
"female","Lung","lung neuroendocrine cell"
"female","Lung","lymphocyte"
"female","Lung","myeloid dendritic cell"
"female","Lung","neutrophil"
"female","Lung","NK cell"
"female","Lung","non-classical monocyte"
"female","Lung","pericyte cell"
"female","Lung","plasma cell"
"female","Lung","plasmacytoid dendritic cell"
"female","Lung","pulmonary interstitial fibroblast"
"female","Lung","regulatory T cell"
"female","Lung","respiratory basal cell"
"female","Lung","smooth muscle cell of the pulmonary artery"
"female","Lung","T cell"
"female","Lung","type I pneumocyte"
"female","Lung","type II pneumocyte"
"female","Lung","vein endothelial cell"
"female","Mammary_Gland","basal cell"
"female","Mammary_Gland","endothelial cell"
"female","Mammary_Gland","luminal epithelial cell of mammary gland"
"female","Mammary_Gland","stromal cell"
"female","Marrow","basophil"
"female","Marrow","CD4-positive, alpha-beta T cell"
"female","Marrow","early pro-B cell"
"female","Marrow","granulocyte"
"female","Marrow","granulocyte monocyte progenitor cell"
